category_slug,category_title,needed,spec,status
__GLOBAL__,App Icon Set,app_icons,"iOS + Android + PWA: 1024x1024 master, plus exports (or allow us to generate exports).",pending_owner
__GLOBAL__,Brand Wordmark (SVG preferred),logo_svg,Clean vector logo for crisp scaling across desktop/tablet/mobile.,pending_owner
__GLOBAL__,OpenGraph / Social Share Image,og_image,1200x630 image for link previews.,pending_owner
__GLOBAL__,Category Hero Loop Videos,category_hero_loops,Short MP4 loops for each category hero tile (placeholders in use).,pending_owner
__GLOBAL__,Thumbnail Overrides (optional but ideal),thumb_overrides,"CSV mapping video_id -> preferred thumbnail URL or timecode/frame note (move visible, face/muscle visible, no motion blur).",pending_owner
__GLOBAL__,Tenant Branding Assets (future),tenant_branding,Per-business logo + optional theme overrides once multi-tenant goes live.,pending_owner
__GLOBAL__,Stripe Netlify Env Vars,stripe_env_vars,Set STRIPE_SECRET_KEY and STRIPE_WEBHOOK_SIGNING_SECRET in Netlify (never in code).,pending_owner
__GLOBAL__,Stripe Business Starter Price IDs,biz_starter_price_ids,Provide PRICE_ID_BIZ_STARTER_MONTHLY and PRICE_ID_BIZ_STARTER_ANNUAL (or share the two Starter price IDs).,pending_owner
__GLOBAL__,Stripe Portal Config (Starter/Pro),stripe_portal_config,Confirm Customer Portal configuration includes the right products/prices OR tell us to keep plan switching in-app.,pending_owner
__GLOBAL__,Supabase Project Deliverables,supabase_keys,"Project URL, anon key, service role key; plus auth settings + RLS policies (future checkpoint).",pending_owner
