category_slug,category_title,needed,spec,status
__GLOBAL__,App Icon Set,app_icons,"iOS + Android + PWA: 1024x1024 master, plus exports (or allow us to generate exports).",pending_owner
__GLOBAL__,Brand Wordmark (SVG preferred),logo_svg,Clean vector logo for crisp scaling across desktop/tablet/mobile.,pending_owner
__GLOBAL__,OpenGraph / Social Share Image,og_image,1200x630 image for link previews.,pending_owner
__GLOBAL__,Category Hero Loop Videos,category_hero_loops,Short MP4 loops for each category hero tile (placeholders in use).,pending_owner
__GLOBAL__,Thumbnail Overrides (optional but ideal),thumb_overrides,"CSV mapping video_id -> preferred thumbnail URL or timecode/frame note (move visible, face visible, minimal blur).",pending_owner
__GLOBAL__,Tenant Branding Assets (future),tenant_branding,Per-business logo + optional theme overrides once multi-tenant goes live.,pending_owner
__GLOBAL__,Stripe Netlify Env Vars,stripe_env_vars,Set STRIPE_SECRET_KEY and STRIPE_WEBHOOK_SIGNING_SECRET in Netlify (never in code).,pending_owner
__GLOBAL__,Stripe Price IDs (optional lock-in),stripe_price_ids,"Optional: provide explicit business Starter + Pro monthly/annual price IDs so we can pin to exact prices. If omitted, server auto-discovers the first active price for the product + interval.",pending_owner
__GLOBAL__,Stripe Portal Config,stripe_portal_config,Confirm Customer Portal configuration includes the right products/prices for upgrade/downgrade & cancellation flows.,pending_owner
__GLOBAL__,Supabase Project Deliverables,supabase_keys,"Project URL, Anon key, Service Role key; enable Email auth; confirm JWT expiry; confirm storage bucket plan for thumbnails (optional).",pending_owner
__GLOBAL__,Vimeo API Token (thumbnail pipeline),vimeo_api_token,"Personal access token with video read scopes to pull thumbnail images/timecodes. Do not store in repo; keep in local env.",received_owner
